Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A878257,A878257,04/09/2023 02:34:00 PM,Apr 2023,04/08/2023,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair,Black/White
A875297,*Weird Al,04/09/2023 03:03:00 PM,Apr 2023,02/24/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby
A878157,Ted,04/09/2023 03:43:00 PM,Apr 2023,10/07/2021,Adoption,,Cat,Neutered Male,1 year,Domestic Medium Hair,Blue Tabby/White
A877607,Nyx,04/09/2023 06:51:00 PM,Apr 2023,03/30/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Black
A878162,,04/10/2023 08:30:00 AM,Apr 2023,04/07/2022,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair,Tortie/White
A878151,Wilson,04/10/2023 08:31:00 AM,Apr 2023,04/07/2021,Transfer,Snr,Cat,Neutered Male,2 years,Domestic Medium Hair,Orange Tabby/White
A878161,A878161,04/10/2023 08:32:00 AM,Apr 2023,04/07/2022,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair,Tortie/White
A878158,A878158,04/10/2023 08:33:00 AM,Apr 2023,04/07/2022,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair,Calico/White
A878163,A878163,04/10/2023 08:34:00 AM,Apr 2023,04/07/2021,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby
A878051,,04/10/2023 10:00:00 AM,Apr 2023,03/22/2023,Euthanasia,Suffering,Cat,Unknown,2 weeks,Domestic Shorthair,Blue Tabby/White
A875771,Simba,04/10/2023 11:58:00 AM,Apr 2023,03/04/2020,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair,Orange Tabby/White
A875976,*Havarti,04/10/2023 02:18:00 PM,Apr 2023,02/07/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby
A875891,*Hot Stuff,04/10/2023 02:34:00 PM,Apr 2023,03/06/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Cream Tabby
A876841,Cardi,04/10/2023 03:13:00 PM,Apr 2023,09/20/2022,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Blue Tabby
A875975,*Gouda,04/10/2023 03:56:00 PM,Apr 2023,02/07/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A875977,*Ricotta,04/10/2023 04:10:00 PM,Apr 2023,02/07/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby
A878019,*Butters,04/10/2023 04:30:00 PM,Apr 2023,04/05/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Medium Hair,White/Orange
A878093,A878093,04/10/2023 05:09:00 PM,Apr 2023,04/06/2022,Adoption,,Cat,Spayed Female,1 year,Siamese,Lynx Point
A878319,141G,04/10/2023 05:20:00 PM,Apr 2023,04/02/2023,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair,Black
A877840,,04/10/2023 06:18:00 PM,Apr 2023,10/03/2020,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Black/White
A877839,*Purry Mason,04/10/2023 06:37:00 PM,Apr 2023,04/03/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby
A873220,*Chives,04/11/2023 07:57:00 AM,Apr 2023,01/22/2022,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair,Black
A753960,Leroy,04/11/2023 02:06:00 PM,Apr 2023,04/13/2017,Adoption,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Lynx Point
A877859,Sire,04/11/2023 02:41:00 PM,Apr 2023,04/03/2021,Transfer,Partner,Cat,Intact Male,2 years,Domestic Shorthair,Blue Tabby
A878167,Duke Wellington,04/11/2023 02:42:00 PM,Apr 2023,04/07/2021,Return to Owner,,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby/White
A878116,Joy The Void,04/11/2023 03:58:00 PM,Apr 2023,12/23/2022,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Black
A877913,,04/11/2023 04:11:00 PM,Apr 2023,04/04/2020,Transfer,Partner,Cat,Intact Male,3 years,Domestic Shorthair,Orange Tabby/White
A878392,273 Grams,04/11/2023 05:37:00 PM,Apr 2023,03/24/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Gray Tabby/White
A878391,272 Grams,04/11/2023 05:37:00 PM,Apr 2023,03/24/2023,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Gray Tabby/White
A878389,218 Grams,04/11/2023 05:37:00 PM,Apr 2023,03/24/2023,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Gray Tabby/White
A878438,A878438,04/11/2023 07:00:00 PM,Apr 2023,03/25/2023,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Black
A877838,*Ghibli,04/11/2023 07:01:00 PM,Apr 2023,04/03/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Torbie
A875346,*Angie,04/12/2023 09:10:00 AM,Apr 2023,02/25/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Torbie
A878137,,04/12/2023 10:24:00 AM,Apr 2023,02/07/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A878132,,04/12/2023 10:24:00 AM,Apr 2023,02/07/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A878460,A878460,04/12/2023 12:00:00 PM,Apr 2023,02/12/2023,Euthanasia,Suffering,Cat,Unknown,1 month,Domestic Shorthair,Gray Tabby
A878457,,04/12/2023 02:51:00 PM,Apr 2023,04/12/2019,Transfer,Partner,Cat,Intact Female,4 years,Domestic Shorthair,Brown Tabby
A878432,*Celeste,04/12/2023 02:55:00 PM,Apr 2023,04/11/2021,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico
A878433,A878433,04/12/2023 02:57:00 PM,Apr 2023,04/04/2023,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Orange Tabby/White
A878435,A878435,04/12/2023 02:58:00 PM,Apr 2023,04/04/2023,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,White
A878434,A878434,04/12/2023 02:58:00 PM,Apr 2023,04/04/2023,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Brown Tabby/White
A878436,A878436,04/12/2023 03:03:00 PM,Apr 2023,04/04/2023,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black/White
A878320,*Calliope,04/12/2023 03:05:00 PM,Apr 2023,04/10/2021,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair,Torbie
A878321,,04/12/2023 03:06:00 PM,Apr 2023,03/28/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Cream Tabby
A878322,,04/12/2023 03:07:00 PM,Apr 2023,03/28/2023,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Cream Tabby
A878323,,04/12/2023 03:07:00 PM,Apr 2023,03/28/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Brown Tabby
A878437,A878437,04/12/2023 03:16:00 PM,Apr 2023,04/04/2023,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black/White
A878325,,04/12/2023 03:19:00 PM,Apr 2023,03/28/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Blue Tabby
A878324,,04/12/2023 03:19:00 PM,Apr 2023,03/28/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Brown Tabby
A878326,,04/12/2023 03:20:00 PM,Apr 2023,03/28/2023,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Blue Tabby
A875995,*Remy,04/12/2023 05:54:00 PM,Apr 2023,03/07/2021,Adoption,Foster,Cat,Neutered Male,2 years,Siamese,Chocolate Point
A877608,A877608,04/12/2023 07:01:00 PM,Apr 2023,03/30/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Torbie
A878238,,04/13/2023 11:07:00 AM,Apr 2023,04/09/2021,Euthanasia,At Vet,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby
A875231,*Sammy,04/13/2023 11:59:00 AM,Apr 2023,02/14/2023,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair,Orange Tabby
A875595,*Smudge,04/13/2023 12:20:00 PM,Apr 2023,03/01/2021,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair,White/Blue
A878395,A878395,04/14/2023 08:50:00 AM,Apr 2023,04/11/2018,Transfer,Snr,Cat,Intact Male,5 years,Domestic Shorthair Mix,Black/White
A878355,A878355,04/14/2023 08:50:00 AM,Apr 2023,04/10/2021,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair Mix,Orange Tabby/White
A878283,A878283,04/14/2023 10:40:00 AM,Apr 2023,04/10/2017,Euthanasia,Suffering,Cat,Intact Male,6 years,Domestic Shorthair,Brown Tabby/White
A874630,,04/14/2023 01:51:00 PM,Apr 2023,01/24/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black
A878481,Flow Water,04/14/2023 01:52:00 PM,Apr 2023,10/12/2018,Return to Owner,,Cat,Spayed Female,4 years,Domestic Shorthair,Brown Tabby
A874629,,04/14/2023 02:10:00 PM,Apr 2023,01/24/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A875989,*Safira,04/14/2023 02:41:00 PM,Apr 2023,03/07/2021,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair,Black
A875991,,04/14/2023 02:50:00 PM,Apr 2023,02/07/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby
A875993,,04/14/2023 03:00:00 PM,Apr 2023,02/07/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby/White
A875723,*Eggs,04/14/2023 03:07:00 PM,Apr 2023,02/09/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black Tabby
A875729,*Coffee,04/14/2023 03:13:00 PM,Apr 2023,02/09/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A877837,*Cornbread,04/14/2023 03:57:00 PM,Apr 2023,04/03/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Orange Tabby
A878120,*Buster,04/14/2023 04:19:00 PM,Apr 2023,04/07/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A878640,122 Garms,04/14/2023 04:58:00 PM,Apr 2023,04/12/2023,Transfer,Partner,Cat,Intact Female,2 days,Domestic Shorthair,White
A878641,128 Grams,04/14/2023 04:59:00 PM,Apr 2023,04/12/2023,Transfer,Partner,Cat,Intact Female,2 days,Domestic Shorthair,Black
A878020,Cleo,04/14/2023 05:25:00 PM,Apr 2023,04/08/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Black/White
A878021,Figaro,04/14/2023 05:26:00 PM,Apr 2023,04/05/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Black/White
A878379,*Sundae,04/15/2023 12:00:00 AM,Apr 2023,09/11/2022,Transfer,Partner,Cat,Intact Female,7 months,Domestic Shorthair Mix,Black/White
A878380,A878380,04/15/2023 10:15:00 AM,Apr 2023,04/11/2021,Euthanasia,Suffering,Cat,Intact Male,2 years,Siamese Mix,Lilac Point
A869240,Ebony,04/15/2023 11:11:00 AM,Apr 2023,11/15/2012,Adoption,Foster,Cat,Spayed Female,10 years,Domestic Medium Hair,Black
A720405,Ollie,04/15/2023 12:16:00 PM,Apr 2023,04/08/2015,Adoption,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black/White
A874137,*Valentina,04/15/2023 12:30:00 PM,Apr 2023,02/07/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Tortie
A877687,Red,04/15/2023 04:19:00 PM,Apr 2023,03/31/2018,Adoption,,Cat,Neutered Male,5 years,Domestic Shorthair,Orange Tabby
A878626,,04/15/2023 04:31:00 PM,Apr 2023,04/14/2021,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair,Brown Tabby
A878540,,04/15/2023 04:31:00 PM,Apr 2023,03/13/2023,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Black
A878541,,04/15/2023 04:32:00 PM,Apr 2023,03/13/2023,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Black
A878719,Ruby,04/15/2023 07:44:00 PM,Apr 2023,04/15/2007,Relocate,,Cat,Spayed Female,16 years,Domestic Shorthair,Black
A875994,,04/16/2023 12:00:00 AM,Apr 2023,02/07/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black/White
A875726,*Waffles,04/16/2023 12:00:00 AM,Apr 2023,02/09/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Torbie
A875728,*Pancakes,04/16/2023 12:00:00 AM,Apr 2023,02/09/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A875724,*Bacon,04/16/2023 12:00:00 AM,Apr 2023,02/09/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby
A878015,*Shayla,04/16/2023 03:18:00 PM,Apr 2023,04/05/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby
A876052,Mya,04/16/2023 03:43:00 PM,Apr 2023,03/08/2013,Adoption,,Cat,Spayed Female,10 years,Snowshoe Mix,Blue Point/White
A875842,*Sweety,04/16/2023 07:00:00 PM,Apr 2023,03/06/2018,Adoption,,Cat,Spayed Female,5 years,Domestic Shorthair,Black
A878335,*Sofi,04/17/2023 05:42:00 AM,Apr 2023,05/10/2022,Adoption,,Cat,Spayed Female,11 months,Domestic Shorthair,Tortie
A878425,,04/17/2023 06:00:00 AM,Apr 2023,02/11/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A878424,,04/17/2023 07:21:00 AM,Apr 2023,02/11/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,White/Brown Tabby
A862603,Athena,04/17/2023 07:33:00 AM,Apr 2023,06/07/2022,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair,Torbie/White
A878672,,04/17/2023 10:54:00 AM,Apr 2023,04/14/2022,Transfer,Snr,Cat,Unknown,1 year,Domestic Shorthair,Brown Tabby
A478962,Bella,04/17/2023 11:46:00 AM,Apr 2023,01/14/2007,Adoption,Foster,Cat,Spayed Female,16 years,Domestic Shorthair Mix,Brown Tabby
A875954,*Bernie,04/17/2023 12:50:00 PM,Apr 2023,03/07/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby/White
A878801,,04/17/2023 01:20:00 PM,Apr 2023,04/14/2023,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair,Black Tabby
A878802,,04/17/2023 01:21:00 PM,Apr 2023,04/14/2023,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair,Black Tabby
A878487,Pepe,04/17/2023 01:36:00 PM,Apr 2023,08/01/2019,Adoption,,Cat,Neutered Male,3 years,Domestic Longhair,Brown Tabby/White
A878798,,04/17/2023 02:07:00 PM,Apr 2023,03/27/2023,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Tortie
A878796,,04/17/2023 02:07:00 PM,Apr 2023,03/26/2023,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,White/Black
A878797,,04/17/2023 02:07:00 PM,Apr 2023,03/27/2023,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair,Orange Tabby
A878494,Camille,04/17/2023 02:10:00 PM,Apr 2023,04/12/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Blue/White
A878486,,04/17/2023 03:04:00 PM,Apr 2023,12/12/2022,Adoption,,Cat,Neutered Male,4 months,Domestic Medium Hair,Blue
A878344,*Gracie Lou,04/17/2023 03:20:00 PM,Apr 2023,10/10/2022,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair,Brown Tabby
A875725,*Toast,04/17/2023 03:35:00 PM,Apr 2023,02/09/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Torbie
A878006,*Bellatrix,04/17/2023 03:37:00 PM,Apr 2023,08/05/2022,Transfer,Partner,Cat,Unknown,8 months,Domestic Shorthair,Brown Tabby
A874961,*Piper,04/17/2023 03:50:00 PM,Apr 2023,02/21/2021,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair,Cream Tabby
A869790,*Smudge,04/17/2023 03:54:00 PM,Apr 2023,07/25/2022,Adoption,Foster,Cat,Neutered Male,8 months,Domestic Shorthair,White
A874632,,04/17/2023 04:26:00 PM,Apr 2023,01/24/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A874631,,04/17/2023 04:28:00 PM,Apr 2023,01/24/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A875990,,04/17/2023 04:38:00 PM,Apr 2023,02/07/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White
A870511,Mimi,04/17/2023 04:43:00 PM,Apr 2023,10/31/2022,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,Brown Tabby/White
A875992,,04/17/2023 04:51:00 PM,Apr 2023,02/07/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A875923,*Calvin,04/17/2023 05:01:00 PM,Apr 2023,03/06/2020,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby/White
A878387,*Moon,04/17/2023 05:16:00 PM,Apr 2023,04/11/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Blue
A878249,*Leopold,04/17/2023 06:16:00 PM,Apr 2023,04/11/2019,Adoption,,Cat,Neutered Male,4 years,Domestic Shorthair,Black/White
A878828,,04/17/2023 06:47:00 PM,Apr 2023,03/26/2023,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Medium Hair,Brown Tabby
A878732,,04/18/2023 07:12:00 AM,Apr 2023,03/29/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,White/Gray
A878730,,04/18/2023 07:12:00 AM,Apr 2023,03/29/2023,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Brown Tabby/White
A878731,,04/18/2023 07:12:00 AM,Apr 2023,03/29/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Brown Tabby/White
A878733,,04/18/2023 07:12:00 AM,Apr 2023,03/29/2023,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Gray/White
A878605,,04/18/2023 10:40:00 AM,Apr 2023,04/14/2020,Euthanasia,Suffering,Cat,Intact Male,3 years,Domestic Shorthair,Black
A878428,Misha,04/18/2023 11:11:00 AM,Apr 2023,04/11/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Torbie
A875230,*Raven,04/18/2023 01:34:00 PM,Apr 2023,02/14/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White
A875232,*Earl,04/18/2023 01:38:00 PM,Apr 2023,02/14/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Blue/White
A878117,*Tropicana,04/18/2023 04:05:00 PM,Apr 2023,04/07/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby
A878492,*Izzie,04/18/2023 04:13:00 PM,Apr 2023,01/15/2023,Adoption,,Cat,Spayed Female,3 months,Domestic Medium Hair,Lynx Point/White
A876495,*Oscar,04/18/2023 04:44:00 PM,Apr 2023,02/20/2023,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair,Blue
A878484,,04/18/2023 04:53:00 PM,Apr 2023,04/12/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby
A874315,*Howard,04/18/2023 06:11:00 PM,Apr 2023,02/09/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Orange Tabby
A878336,*Helena,04/18/2023 06:34:00 PM,Apr 2023,04/10/2022,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair,Black
A878340,,04/18/2023 06:35:00 PM,Apr 2023,04/09/2023,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair,Brown Tabby
A878337,,04/18/2023 06:35:00 PM,Apr 2023,04/09/2023,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair,Black
A878339,,04/18/2023 06:35:00 PM,Apr 2023,04/09/2023,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair,Brown Tabby
A878338,,04/18/2023 06:35:00 PM,Apr 2023,04/09/2023,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair,Black
A840381,Merica,04/19/2023 01:10:00 PM,Apr 2023,07/04/2021,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair,Orange Tabby
A876917,*Caramel Corn,04/19/2023 01:11:00 PM,Apr 2023,03/21/2022,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby/Black
A878086,Ziggy,04/19/2023 01:12:00 PM,Apr 2023,04/06/2021,Transfer,Partner,Cat,Neutered Male,2 years,Manx Mix,Blue
A878469,,04/19/2023 01:13:00 PM,Apr 2023,04/12/2021,Transfer,Partner,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby/White
A877677,*Lupita,04/19/2023 01:15:00 PM,Apr 2023,03/31/2021,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair,Blue Tabby
A877855,*Fernando,04/19/2023 01:16:00 PM,Apr 2023,04/03/2021,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair,White/Orange Tabby
A878837,Pixel,04/19/2023 01:17:00 PM,Apr 2023,04/17/2021,Transfer,Partner,Cat,Intact Female,2 years,Domestic Longhair/Maine Coon,Brown Tabby
A874628,*Juliet,04/19/2023 01:17:00 PM,Apr 2023,02/15/2021,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair,Tortie
A878820,,04/19/2023 02:00:00 PM,Apr 2023,04/17/2021,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair,Torbie/White
A878921,A878921,04/19/2023 03:00:00 PM,Apr 2023,04/16/2023,Transfer,Partner,Cat,Intact Male,3 days,Domestic Shorthair,Brown Tabby/White
A876500,*Iris,04/19/2023 06:01:00 PM,Apr 2023,02/20/2023,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair,Lynx Point
A876498,*Lightning,04/19/2023 06:03:00 PM,Apr 2023,02/20/2023,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair,Flame Point
A876496,*Lucky,04/19/2023 06:12:00 PM,Apr 2023,02/20/2023,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair,Black
A878975,,04/19/2023 06:32:00 PM,Apr 2023,03/04/2023,Died,Enroute,Cat,Unknown,1 month,Domestic Shorthair,Black
A878646,,04/20/2023 12:00:00 AM,Apr 2023,04/14/2021,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Black
A878871,,04/20/2023 12:00:00 AM,Apr 2023,04/18/2021,Transfer,Snr,Cat,Intact Male,2 years,Domestic Shorthair,White/Blue
A878561,,04/20/2023 12:00:00 AM,Apr 2023,04/13/2021,Transfer,Snr,Cat,Unknown,2 years,Domestic Shorthair,Blue
A878973,285 Grams,04/20/2023 01:44:00 PM,Apr 2023,03/20/2023,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Black
A878978,500 Grams,04/20/2023 01:44:00 PM,Apr 2023,03/20/2023,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Black
A878980,288 Grams,04/20/2023 01:44:00 PM,Apr 2023,03/20/2023,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Black
A878977,297 Grams,04/20/2023 01:44:00 PM,Apr 2023,03/20/2023,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Black
A878976,283 Grams,04/20/2023 01:44:00 PM,Apr 2023,03/20/2023,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Black
A878972,181 Grams,04/20/2023 01:44:00 PM,Apr 2023,03/20/2023,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Black
A878974,359 Grams,04/20/2023 01:44:00 PM,Apr 2023,03/20/2023,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Black
A878979,403 Grams,04/20/2023 01:44:00 PM,Apr 2023,03/20/2023,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Black
A877937,*Kourtney,04/20/2023 01:49:00 PM,Apr 2023,02/22/2023,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Brown Tabby
A877936,*Kim,04/20/2023 01:53:00 PM,Apr 2023,02/22/2023,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Brown Tabby
A877935,*Khloe,04/20/2023 01:57:00 PM,Apr 2023,02/22/2023,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Brown Tabby
A870773,Chanel,04/20/2023 03:29:00 PM,Apr 2023,06/12/2022,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair,Cream Tabby/White
A878111,*Blackie,04/20/2023 06:32:00 PM,Apr 2023,04/07/2021,Transfer,Snr,Cat,Neutered Male,2 years,Domestic Shorthair,Black
A879046,362 Grams,04/20/2023 06:39:00 PM,Apr 2023,03/29/2023,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Orange Tabby
A879017,,04/20/2023 06:40:00 PM,Apr 2023,03/29/2023,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair,Brown Tabby
A875792,Jimmy,04/20/2023 07:03:00 PM,Apr 2023,03/04/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Lynx Point
A879092,280 Grams,04/21/2023 12:59:00 PM,Apr 2023,04/08/2023,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Medium Hair,Brown Tabby/White
A879084,230 Grams,04/21/2023 12:59:00 PM,Apr 2023,04/03/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Brown Tabby/White
A879087,186 Grams,04/21/2023 01:00:00 PM,Apr 2023,04/03/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Blue/White
A879086,180 Grams,04/21/2023 01:00:00 PM,Apr 2023,04/03/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Brown Tabby/White
A879088,196 Grams,04/21/2023 01:00:00 PM,Apr 2023,04/03/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Black Tabby
A878890,Tom,04/21/2023 01:50:00 PM,Apr 2023,04/18/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Black/White
A878891,Jerry,04/21/2023 01:58:00 PM,Apr 2023,04/18/2022,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Chocolate/White
A878892,Dame,04/21/2023 03:34:00 PM,Apr 2023,04/18/2022,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair,Blue
